feature,importance
mfcc_3_mean,0.08889456771624135
zero_crossing_rate,0.06233239031336268
mfcc_4_mean,0.05871980835257086
mfcc_5_mean,0.04862710689649052
mfcc_9_mean,0.044389036521577274
spectral_bandwidth_hz,0.04376958974436698
dominant_frequency_hz,0.041186899608811105
mfcc_5_std,0.040927361797980316
mfcc_11_mean,0.03940155093481541
spectral_rolloff_hz,0.03538867715057902
mfcc_8_mean,0.03520584006583036
mfcc_1_std,0.0351677315193931
mfcc_4_std,0.03451486305133255
mfcc_6_mean,0.033658891359503444
mfcc_7_mean,0.032599205080409296
mfcc_13_mean,0.03075573961213659
spectral_centroid_hz,0.029269450332248658
mfcc_6_std,0.028933512841174746
spectral_flatness,0.025748852427642473
rms,0.02397821557941981
mfcc_2_mean,0.022870188982921893
mfcc_3_std,0.0192408432095911
mfcc_10_mean,0.01788203360391423
mfcc_2_std,0.01698182927537025
mfcc_8_std,0.016186897236476688
mfcc_11_std,0.015674702986605598
mfcc_7_std,0.015199275406672779
mfcc_12_std,0.014562948907999255
mfcc_9_std,0.01427704284560499
mfcc_1_mean,0.010777456610879046
mfcc_10_std,0.01062497752820285
mfcc_12_mean,0.006764491014652156
mfcc_13_std,0.005488021485222645
