feature,machine_id_importance
mfcc_6_mean,0.12486622353532477
zero_crossing_rate,0.09441671061068072
mfcc_2_mean,0.08812964542303582
spectral_flatness,0.07937498977014781
spectral_centroid_hz,0.059505790709368206
mfcc_10_mean,0.05793156535120067
spectral_bandwidth_hz,0.051020804387424026
spectral_rolloff_hz,0.044591599455186835
mfcc_5_mean,0.041037057280932585
mfcc_11_mean,0.03485950104293207
mfcc_8_mean,0.02916110000743452
mfcc_3_std,0.02702564816218847
mfcc_1_mean,0.02423018770494447
mfcc_9_std,0.021195703361951142
mfcc_7_mean,0.021071007949869748
mfcc_2_std,0.020702223171199723
mfcc_5_std,0.020321109296213592
mfcc_9_mean,0.01677845234981889
mfcc_7_std,0.016343978456875016
mfcc_1_std,0.016122497874855198
rms,0.01522498010500733
mfcc_10_std,0.015087984953329348
mfcc_6_std,0.014194823670767447
dominant_frequency_hz,0.011928246818639606
mfcc_3_mean,0.009992372690808637
mfcc_8_std,0.009485500850225955
mfcc_11_std,0.007616318757772228
mfcc_4_mean,0.006709009240333162
mfcc_4_std,0.005052495263968912
mfcc_13_mean,0.004886689883495438
mfcc_13_std,0.004649806233521098
mfcc_12_std,0.003699438515652105
mfcc_12_mean,0.00278653711489449
