approach,accuracy,precision,abnormal_recall,f1_score,roc_auc
Random Forest Baseline (Unscaled All Feats),0.7253,0.1899,0.4693,0.2704,0.6443
Supervised 2D CNN (Mel Spectrograms),0.3282,0.1334,0.9452,0.2338,0.5445
Normal-Only Autoencoder (Mel Spectrograms),0.7436,0.1244,0.2259,0.1604,0.4939
Domain-Norm RF: Subset A: All Features,0.6635,0.1435,0.4232,0.2143,0.577
Domain-Norm RF: Subset B: Remove Top 5 Machine-Dep,0.7253,0.1831,0.443,0.2591,0.6237
Domain-Norm RF: Subset C: Remove Top 10 Machine-Dep,0.7586,0.218,0.4737,0.2985,0.6763
Domain-Norm RF: Subset D: Relatively Machine-Invariant,0.7541,0.2387,0.5789,0.338,0.7273
